zone_id,borough,service_type,base_congestion_factor
128,Manhattan,Green,1.317
129,Brooklyn,Green,0.932
130,Manhattan,Yellow,1.345
131,Manhattan,FHV,1.014
132,Queens,FHV,0.992
133,Queens,Yellow,1.46
134,Brooklyn,FHV,1.211
135,EWR,Green,1.452
136,EWR,FHV,0.926
137,Queens,Green,0.914
138,EWR,FHV,1.02
139,Brooklyn,FHV,1.068
140,Bronx,Yellow,1.424
141,EWR,FHV,0.945
142,Bronx,FHV,1.013
143,EWR,Green,1.311
144,Bronx,Green,0.931
145,Staten Island,Yellow,1.295
146,Bronx,Green,1.109
147,Brooklyn,FHV,1.191
148,Manhattan,FHV,0.828
149,EWR,FHV,1.401
150,Bronx,Yellow,1.491
151,Staten Island,Yellow,1.179
152,Queens,FHV,0.856
153,EWR,Yellow,0.952
154,Brooklyn,FHV,1.286
155,Brooklyn,Green,1.153
156,Queens,Green,0.814
157,Manhattan,Yellow,1.146
158,Brooklyn,FHV,0.867
159,EWR,Yellow,1.325
160,EWR,FHV,1.354
161,Bronx,Yellow,0.815
162,Queens,FHV,1.122
163,Manhattan,Yellow,0.928
164,Bronx,Green,1.232
165,Staten Island,Yellow,1.423
166,Brooklyn,FHV,0.801
167,Brooklyn,Yellow,1.245
168,EWR,FHV,1.355
169,Bronx,FHV,1.379
170,Manhattan,Green,1.177
171,EWR,Green,1.482
172,Bronx,Yellow,1.056
173,Queens,Green,1.186
174,Staten Island,Green,1.043
175,Bronx,FHV,0.817
176,Bronx,Yellow,1.05
177,Queens,Yellow,1.417
178,Manhattan,FHV,1.19
179,Staten Island,FHV,1.243
180,Staten Island,Green,1.406
181,Staten Island,Yellow,0.953
182,Brooklyn,Yellow,0.845
183,Bronx,Yellow,1.346
184,Queens,Yellow,1.444
185,Queens,Yellow,1.076
186,EWR,Yellow,1.332
187,Manhattan,FHV,0.805
188,Brooklyn,FHV,1.365
189,Bronx,Green,0.853
190,Brooklyn,Green,1.139
191,Manhattan,Yellow,1.429
192,Queens,Green,1.183
193,Queens,FHV,0.962
194,Staten Island,FHV,1.24
195,Bronx,Yellow,1.21
196,Staten Island,FHV,1.208
197,Bronx,Green,1.069
198,Staten Island,Yellow,1.456
199,Queens,FHV,1.185
200,Manhattan,Yellow,0.825
201,EWR,FHV,1.13
202,Queens,FHV,1.026
203,Manhattan,Yellow,1.267
204,EWR,Green,0.822
205,EWR,Yellow,0.826
206,EWR,FHV,1.444
207,Brooklyn,Yellow,1.006
208,Brooklyn,Green,1.286
209,Queens,Yellow,1.286
210,Brooklyn,FHV,1.126
211,Staten Island,FHV,0.854
212,Manhattan,Green,1.27
213,EWR,FHV,1.446
214,Queens,Yellow,1.41
215,Bronx,Yellow,1.42
216,Staten Island,Green,1.285
217,Bronx,Yellow,1.161
218,Manhattan,FHV,1.034
219,Staten Island,Yellow,1.229
220,Brooklyn,FHV,0.958
221,Manhattan,Green,1.183
222,Staten Island,Yellow,1.281
223,Manhattan,Green,0.905
224,Staten Island,Green,1.496
225,Brooklyn,FHV,1.322
226,Manhattan,Yellow,1.335
227,Staten Island,Yellow,1.237
228,Bronx,Yellow,1.293
229,Bronx,FHV,1.053
230,Queens,Yellow,1.333
231,EWR,Yellow,1.399
232,Brooklyn,FHV,1.266
233,EWR,Yellow,1.338
234,Queens,FHV,1.035
235,Bronx,Green,1.013
236,Queens,FHV,0.972
237,Brooklyn,FHV,1.387
238,Bronx,Green,1.454
239,Bronx,Green,1.229
240,Staten Island,Yellow,1.437
241,Staten Island,Yellow,1.442
242,Bronx,Green,1.123
243,Brooklyn,Green,1.07
244,Brooklyn,FHV,1.381
245,Manhattan,FHV,1.194
246,Bronx,Green,1.355
247,Queens,Green,1.157
248,Queens,Yellow,1.069
249,Bronx,FHV,0.965
250,EWR,Yellow,1.219
251,Staten Island,Yellow,1.077
252,EWR,FHV,1.117
253,EWR,Yellow,0.839
254,Staten Island,FHV,0.815
255,Queens,Green,1.261
256,Brooklyn,Green,1.144
257,EWR,FHV,1.227
258,Staten Island,Green,1.163
259,Staten Island,Yellow,0.997
260,EWR,Yellow,0.947
261,Staten Island,Green,1.474
262,Queens,Yellow,1.217
263,Manhattan,Yellow,1.358
264,Queens,Yellow,0.925
